序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,電資四,111590375,櫼鎃麦,ACWPT8hvMH,10,8,5,3,3,0,10,5,6,5
2,創新AI,112C71352,飋缘蚍,B8HxDrKgjT,2,1,6,9,8,5,4,7,2,4
3,電資資安,112C53034,諶蚇莴,lZcGScJHR2,1,5,7,1,4,10,0,0,5,9
4,資工所,112598395,涐楀瘨,qaTACZqo1Q,8,4,8,7,4,2,4,10,4,7
5,電資四,112590959,脠矫獦,20WMZc3gNj,7,4,6,2,1,9,4,2,3,7
6,電資四,111590706,蓠亾禛,a3agVyA6ML,2,6,4,4,10,8,2,6,3,9
7,創新AI,111C71635,岽铟烅,gGnONSTaPI,10,7,10,4,0,1,4,2,4,5
8,資工所,111598173,礠沓跲,L3PBklHo5l,1,4,9,10,10,8,9,5,5,1
9,資工所,111598987,鬎嗛醆,omycpWqwpL,7,3,8,4,9,7,10,3,9,2
10,電資AI,111C52613,蚩颈孹,gHRsxWMN6Z,9,5,1,4,9,0,1,5,0,9
11,電資四,112590919,惰乵觑,lI4jm5XySL,10,10,10,5,4,3,6,0,8,10
12,創新AI,111C71347,夊礷耺,ePEnD44j2u,0,5,10,2,0,8,7,9,2,10
13,創新AI,112C71757,錞鹓熇,aZyZIkeR15,0,3,7,1,1,10,7,4,7,2
14,電資資安,111C53915,拪嚴诋,kU0jChkjGb,0,2,9,7,0,10,1,8,4,6
15,電資四,112590085,物乍駄,R6WKrGTShT,3,5,7,8,8,2,6,2,5,4
16,電資四,111590781,阑欉庤,ELBCDsFbsP,5,5,7,7,2,7,5,7,1,6
17,電資資安,111C53238,膐恅炶,6LGcOpOofj,4,4,2,3,4,10,9,7,3,1
18,創新AI,112C71663,琨穴鋅,y3oTGzKEk1,7,6,1,1,3,7,9,1,1,6
19,資工所,111598046,夅瀳毨,cExB64lukH,4,5,10,2,2,10,4,3,4,9
20,創新AI,111C71439,鏔苚砶,SlO7LEmRZQ,6,1,7,2,0,2,0,8,5,6
21,電資資安,112C53456,境胯颼,2nFAeOoox0,1,10,0,9,5,1,5,5,7,0
22,資工所,111598714,銵錝庢,6aO5omyA4k,1,7,6,8,2,10,8,6,0,7
23,電資資安,111C53087,囹鐈鏓,y2zkiNIRfx,8,7,6,8,7,0,10,0,10,8
24,資工所,112598990,祜蚯模,0X8TfaJxcF,3,6,6,1,3,2,3,5,10,2
25,資工所,112598323,録两憐,Lhv8p8dxZp,6,3,8,5,9,9,3,8,2,2
26,創新AI,111C71634,薬熠絚,NwvT3okKmq,7,5,4,0,6,8,9,9,2,2
27,電資四,112590581,懁邘蠭,KxPbbmp7ya,5,6,9,10,0,1,1,9,1,0
28,資工所,112598486,褣架冎,nDdItQbbdy,7,0,4,8,10,2,9,6,1,2
29,電資AI,112C52359,樸櫙蔾,Mun1DXtqYz,6,2,7,9,0,3,9,1,2,8
30,電資資安,111C53806,锫琞伣,zzgn69CnVM,2,7,4,0,1,3,7,5,8,6
31,電資AI,112C52845,扯付袵,yHLQ6ZFyF5,7,1,5,7,1,5,9,7,1,2
32,創新AI,112C71422,璂泬煉,akciQFTLvY,4,4,8,0,10,6,4,0,7,0
33,電資四,111590047,崲戨夏,Ye7iqdh8co,8,9,3,8,10,9,4,7,7,10
34,資工所,112598776,早囸盖,hLqMX8sM9l,8,8,6,7,9,5,10,0,9,10
35,電資四,112590445,鐈瑡葭,dVQLWfPVTT,8,2,5,10,4,2,7,7,5,1
36,電資資安,112C53374,钠喑垌,lTmmpjMmKz,3,8,6,6,9,3,6,10,9,3
37,電資四,112590082,枞湊獝,F1MlLadDV8,8,0,8,5,6,7,10,9,2,6
38,資工所,112598348,畘膙衷,bA7dtYbHxR,0,5,4,8,0,7,6,7,9,10
39,資工所,112598868,趬綩堘,eGjwc7stzS,4,7,7,7,2,8,4,8,3,1
40,電資AI,112C52495,瘉蒽荙,NeBAUxU1Rp,10,2,6,9,2,9,5,9,10,9
41,資工所,111598210,膫窏糮,fDn6lw0vty,7,6,8,6,5,5,0,5,2,9
42,電資四,112590198,桳騀喻,mH7AbyOhzX,10,6,3,10,7,4,3,3,10,10
43,電資資安,111C53657,鞣熓犒,g50b5dwPvk,2,10,7,5,0,5,2,2,2,10
44,電資四,111590997,齙碮鼀,DOwv73AA1l,6,5,9,7,8,8,4,0,3,5
45,電資四,112590111,寃鐬麅,FQD6svVCaw,0,8,10,5,6,6,2,4,2,2
46,創新AI,112C71020,灝囩氓,wbaHTm5eM5,9,8,5,3,5,3,5,0,5,0
47,電資四,112590166,佔膰橅,t5bNG2wqym,6,5,5,3,3,9,9,6,3,10
48,電資資安,112C53636,戧佾覒,afU14ymOz6,4,6,7,10,10,8,0,9,3,8
49,電資資安,111C53255,脉訛鮦,TmyOuP78Iq,1,4,0,6,10,10,0,3,0,5
50,電資資安,112C53828,佗憛誩,HOSA8uvQBd,3,7,5,2,7,5,2,7,1,7
51,電資資安,111C53293,鈸鎥趄,BM1zjuclaf,10,6,0,6,5,0,7,1,7,4
52,電資AI,112C52946,愹螓奷,fqUjEy8B47,5,8,10,3,7,5,5,4,10,10
53,資工所,112598036,線蟔左,a6eEVTQJhX,4,0,9,6,2,10,6,6,7,5
54,電資AI,112C52637,嵫糼冡,LOof0wnSZ1,8,4,10,2,2,1,9,0,7,5
55,創新AI,112C71084,孁稴郣,ADxx6ulc92,4,5,2,9,1,2,6,2,5,1
56,資工所,112598256,縊缷稕,dlEqv5dhop,5,8,10,10,1,3,1,4,4,3
57,電資四,112590700,咭狻踳,XtxT5jyvZF,0,9,5,5,10,2,5,2,1,10
58,電資資安,111C53035,誫漮錅,c3pTBQP1ne,3,6,2,8,10,9,0,0,0,8
59,電資四,111590845,瑷虒釐,ebdhBK5l6B,9,9,8,5,9,5,1,5,8,4
60,資工所,111598671,耝悄恁,v0tDYJ3TJT,7,7,2,9,8,4,0,6,4,2
61,電資資安,111C53883,厈駄曂,m5xjF7wbb4,7,9,10,0,2,2,10,2,5,9
62,創新AI,112C71162,粔煕俆,byutfOxpZW,2,7,2,2,5,7,10,10,8,5
63,電資資安,111C53845,虈席儆,86pKBC2uWv,4,1,6,3,1,1,1,0,8,1
64,電資AI,111C52683,掅厔庠,6qOoAk1xGh,5,3,4,2,9,4,4,1,10,6
65,電資AI,112C52661,刋戢僳,TAyferz3xN,1,7,1,7,4,10,10,1,3,3
66,電資資安,112C53522,淇翙慛,JrqVcY7E5u,10,5,0,0,5,6,7,1,0,1
67,電資AI,111C52759,憙儜倓,qeFjZZe5iW,2,1,8,4,1,5,3,9,10,0
68,電資四,111590336,贔隌纽,T5va171iL5,1,6,8,5,4,3,3,3,6,1
69,創新AI,111C71413,傛推斨,rg13uVrS2A,10,6,6,3,3,4,3,1,2,5
70,資工所,112598375,残罢鉄,rDrXKyTr5o,9,9,4,2,10,6,7,6,3,1
71,電資資安,111C53704,浝觥溩,mbt3cWJlUK,3,5,8,1,7,10,1,10,3,5
72,電資四,111590040,誴炁赔,QptHFlA0Kp,5,4,3,9,1,10,2,6,5,8
73,電資AI,111C52516,暛悅止,FucvNkcVQq,8,4,6,0,2,2,2,0,9,2
74,創新AI,111C71668,鷎則际,MoQPXuoWDi,8,0,7,4,9,7,9,2,10,6
75,資工所,112598569,馀嚷鞲,nvUcg76oZF,6,0,9,4,3,9,5,5,9,7
76,創新AI,112C71062,径褷障,v9RzlamEJH,5,0,5,0,6,7,7,6,1,3
77,資工所,111598204,殕龞翻,KmdMO5pi3I,3,3,3,3,4,1,6,5,3,9
78,資工所,111598568,睉蓡裺,ZroDDktLL4,4,2,1,6,5,2,6,6,6,1
79,資工所,112598515,地饜铠,rYvc4ybHDy,0,6,4,9,0,7,0,4,7,10
80,電資資安,111C53475,泘磅鯆,cHM8quC5oN,10,5,5,1,8,2,5,6,2,7
81,電資AI,111C52808,坎絣檿,6X3RW5t4w3,5,2,4,2,4,10,10,4,5,9
82,電資AI,112C52409,芗俉钗,e3bqUFKMqO,7,3,10,0,6,6,5,10,7,5
83,電資AI,112C52434,鯉呲綥,KNjNFqqJ7e,0,0,10,10,10,0,5,2,8,10
84,電資AI,111C52825,冗鄍椂,WrpbLfZ35P,0,0,10,6,5,8,7,5,6,6
85,資工所,111598946,狕戹逆,RmOCQLp69j,6,3,5,7,9,0,8,1,1,4
86,電資四,111590856,沠游数,icqMu9T7ej,9,0,5,7,1,2,10,1,4,8
87,電資四,111590733,灬焑鯯,Ig0ldYaBWj,1,7,8,7,6,1,5,5,9,0
88,電資AI,112C52289,晕嵰褶,xXk1dNoZGZ,5,2,1,6,7,9,1,3,6,2
89,電資資安,111C53138,轨镱劆,RNcQ5pxdI7,3,0,7,8,8,2,0,3,0,7
90,創新AI,111C71750,樈満蒾,YaAjPz7XuO,0,1,7,4,3,7,8,7,7,6
91,電資資安,112C53770,壣僬鵗,zPgxD8josO,7,1,1,4,1,3,5,3,1,9
92,電資四,112590319,傹觥馮,BoMzNDSuBH,7,1,7,8,4,1,5,4,4,2
93,資工所,112598990,桼谉盂,hsMyllYq0n,9,7,4,8,8,5,1,3,10,2
94,電資AI,112C52087,耴幂埓,yJSgKE6Dvi,0,4,5,2,2,4,3,10,7,10
95,電資AI,112C52951,雷筻铇,BwJ6KeUATD,1,0,4,1,6,7,2,1,6,2
96,電資四,112590443,為漓韧,Yzw0frHVvl,9,6,2,3,5,9,3,5,5,9
97,創新AI,111C71441,蘍闦爘,j860vEntI0,5,0,5,1,6,4,3,10,5,7
98,電資四,111590139,覫朕哱,NAGIlzBIGg,1,8,9,4,1,1,10,3,4,2
99,電資四,112590706,凧傠滧,NxxKEvYfLt,0,3,4,6,5,1,8,4,9,10
100,電資AI,112C52060,舥槂咘,zny5xMZSMv,7,9,1,2,0,10,4,4,0,2
101,電資四,112590285,悪椄趖,ZFqMAUY6jd,7,2,9,5,4,3,0,2,0,6
102,電資資安,111C53121,喗兔棎,W87lVCAdJt,2,6,1,2,8,3,7,10,5,1
103,資工所,112598633,鴡榒盽,iTfTeNkFVM,9,0,9,5,1,8,10,9,10,9
104,電資四,112590019,贶瑣旫,KwUrGJOBOY,0,4,9,2,5,1,4,3,4,2
105,電資四,111590861,对雥褅,mYATvEuhuT,5,1,1,5,5,7,6,1,9,8
106,創新AI,112C71122,呃肣麅,LX99fBQSkQ,7,9,5,0,4,7,3,3,6,5
107,創新AI,111C71889,懰逺賮,zSRdiFVO4r,0,2,1,7,3,10,4,2,6,6
108,電資四,111590794,雐伭刕,UJsflS1tmB,9,9,4,7,6,2,6,6,1,7
109,創新AI,111C71970,腱楫忐,jtqKkRKhJ9,3,8,4,6,6,8,1,1,9,3
110,電資四,111590383,雛醵昀,nZOEZC1R39,10,0,7,2,8,1,10,8,4,0
111,資工所,111598046,臽捩齨,TfyveCI4nO,7,2,0,7,9,6,2,8,10,3
112,電資四,111590389,腭聊墤,6fRRZq1Yg1,3,8,0,9,8,10,3,6,1,9
113,電資四,111590084,堯讉鈼,3QA6n2reWU,10,6,4,1,10,0,0,5,4,9
114,電資四,112590720,删拇洅,6y1YGaPt8Q,6,2,2,3,7,5,0,9,1,3
115,資工所,111598581,咨衚锺,A4lQ4hvTlC,6,9,3,8,2,1,8,4,6,1
116,資工所,111598279,谞佖秿,rlew2MiOQa,3,3,7,8,1,8,6,3,4,10
117,資工所,112598546,璛籅葬,QrexKGi0ne,3,7,1,7,9,0,7,7,6,10
118,電資資安,111C53567,袬蘉梠,Fl5Hun21r1,9,2,1,5,5,10,6,6,4,9
119,創新AI,111C71945,垘儅嘌,jSHBoNtq8b,0,4,3,4,8,1,8,4,4,3
120,資工所,112598227,膩麮艿,hMGcDAaikW,9,4,7,5,7,2,8,8,5,7
